"nom","dept","comm","arr","tncc","population","latitude","longitude"
"Carnin","59","133","5","0","1011","50.520000000000003","2.9577800000000001"
"Cartignies","59","134","1","0","1271","50.092500000000001","3.8458299999999999"
"Cassel","59","135","4","0","2386","50.799999999999997","2.4872200000000002"
"Cateau-Cambrésis","59","136","2","2","7185","50.105699999999999","3.5413999999999999"
"Catillon-sur-Sambre","59","137","2","0","845","50.073059999999998","3.64222"
"Cattenières","59","138","2","0","691","50.137219999999999","3.3327800000000001"
"Caudry","59","139","2","0","14632","50.125","3.41167"
"Caullery","59","140","2","0","477","50.085000000000001","3.3730600000000002"
"Cauroir","59","141","2","0","580","50.174439999999997","3.3019400000000001"
"Cerfontaine","59","142","1","0","604","50.260829999999999","4.0272199999999998"
"Chapelle-d'Armentières","59","143","5","3","8345","50.672699999999999","2.8961000000000001"
"Château-l'Abbaye","59","144","6","0","879","50.483890000000002","3.4791699999999999"
"Chemy","59","145","5","0","655","50.530560000000001","2.9883299999999999"
"Chéreng","59","146","5","0","3077","50.611109999999996","3.20472"
"Choisies","59","147","1","0","71","50.213889999999999","4.0419400000000003"
"Clairfayts","59","148","1","0","375","50.157220000000002","4.1222200000000004"
"Clary","59","149","2","0","1169","50.077219999999997","3.3999999999999999"
"Cobrieux","59","150","5","0","541","50.543889999999998","3.2294399999999999"
"Colleret","59","151","1","0","1712","50.25667","4.0758299999999998"
"Comines","59","152","5","0","12469","50.761110000000002","3.0077799999999999"
"Condé-sur-l'Escaut","59","153","6","0","9829","50.449170000000002","3.59056"
"Coudekerque-Village","59","154","4","0","1225","50.994169999999997","2.4163899999999998"
"Coudekerque-Branche","59","155","4","0","22918","51.024720000000002","2.3908299999999998"
"Courchelettes","59","156","3","0","2735","50.344999999999999","3.0591699999999999"
"Cousolre","59","157","1","0","2441","50.245559999999998","4.1491699999999998"
"Coutiches","59","158","3","0","2807","50.455280000000002","3.2033299999999998"
"Craywick","59","159","4","0","615","50.970280000000002","2.23611"
"Crespin","59","160","6","0","4484","50.420000000000002","3.6613899999999999"
"Crèvecœur-sur-l'Escaut","59","161","2","0","714","50.106110000000001","3.2508300000000001"
"Crochte","59","162","4","0","729","50.935279999999999","2.3886099999999999"
"Croix","59","163","5","0","20962","50.674720000000001","3.1538900000000001"
"Croix-Caluyau","59","164","1","0","247","50.147219999999997","3.5808300000000002"
"Cuincy","59","165","3","0","6733","50.382219999999997","3.0466700000000002"
"Curgies","59","166","6","0","1109","50.329439999999998","3.6030600000000002"
"Cuvillers","59","167","2","0","206","50.22278","3.2374999999999998"
"Cysoing","59","168","5","0","4631","50.568330000000003","3.2149999999999999"
"Damousies","59","169","1","0","233","50.219439999999999","4.0136099999999999"
"Dechy","59","170","3","0","5176","50.352499999999999","3.1283300000000001"
"Dehéries","59","171","2","0","43","50.051670000000001","3.34056"
"Denain","59","172","6","0","20523","50.328609999999998","3.395"
"Deûlémont","59","173","5","0","1711","50.734169999999999","2.9483299999999999"
"Dimechaux","59","174","1","0","356","50.19556","4.0408299999999997"
"Dimont","59","175","1","0","332","50.182780000000001","4.0202799999999996"
"Doignies","59","176","2","0","302","50.129100000000001","3.0148999999999999"
"Dompierre-sur-Helpe","59","177","1","0","936","50.14472","3.86639"
"Douai","59","178","3","0","43530","50.370829999999998","3.07917"
"Douchy-les-Mines","59","179","6","0","10486","50.301389999999998","3.3933300000000002"
"Doulieu","59","180","4","2","1443","50.682220000000001","2.7191700000000001"
"Dourlers","59","181","1","0","564","50.1768","3.9373999999999998"
"Drincham","59","182","4","0","262","50.906109999999998","2.3091699999999999"
"Dunkerque","59","183","4","0","93489","51.0381","2.3767999999999998"
"Ebblinghem","59","184","4","1","665","50.732219999999998","2.4097200000000001"
"Écaillon","59","185","3","1","2035","50.350000000000001","3.2166700000000001"
"Eccles","59","186","1","1","104","50.205280000000002","4.1019399999999999"
"Éclaibes","59","187","1","1","288","50.203330000000001","3.93194"
"Écuélin","59","188","1","1","113","50.19417","3.9072200000000001"
"Eecke","59","189","4","1","1183","50.77861","2.5961099999999999"
"Élesmes","59","190","1","1","943","50.30639","4.0099999999999998"
"Élincourt","59","191","2","1","642","50.044440000000002","3.3716699999999999"
"Émerchicourt","59","192","6","1","947","50.31306","3.2536100000000001"
"Emmerin","59","193","5","1","3233","50.593330000000002","3.0016699999999998"
"Englefontaine","59","194","1","1","1322","50.191389999999998","3.6427800000000001"
"Englos","59","195","5","1","568","50.62556","2.9566699999999999"
"Ennetières-en-Weppes","59","196","5","1","1201","50.634439999999998","2.9413900000000002"
"Ennevelin","59","197","5","1","2201","50.54139","3.1294400000000002"
"Eppe-Sauvage","59","198","1","1","270","50.119720000000001","4.1783299999999999"
"Erchin","59","199","3","1","780","50.318060000000003","3.1669399999999999"
"Eringhem","59","200","4","1","478","50.896389999999997","2.3433299999999999"
"Erquinghem-le-Sec","59","201","5","1","537","50.613059999999997","2.93167"
"Erquinghem-Lys","59","202","5","1","4574","50.675559999999997","2.8475000000000001"
"Erre","59","203","3","1","1460","50.362499999999997","3.3149999999999999"
"Escarmain","59","204","2","1","440","50.22889","3.5469400000000002"
"Escaudain","59","205","6","1","9206","50.334440000000001","3.3427799999999999"
"Escaudœuvres","59","206","2","1","3443","50.192779999999999","3.2650000000000001"
"Escautpont","59","207","6","1","4308","50.424439999999997","3.5586099999999998"
"Escobecques","59","208","5","1","315","50.621389999999998","2.9302800000000002"
"Esnes","59","209","2","1","670","50.101390000000002","3.3113899999999998"
"Esquelbecq","59","210","4","1","2196","50.886940000000003","2.4313899999999999"
"Esquerchin","59","211","3","1","896","50.376109999999997","3.0136099999999999"
"Estaires","59","212","4","1","6143","50.643900000000002","2.7233000000000001"
"Estourmel","59","213","2","1","464","50.148899999999998","3.3227000000000002"
"Estrées","59","214","3","1","995","50.300280000000001","3.0697199999999998"
"Estreux","59","215","6","1","984","50.350830000000002","3.5941700000000001"
"Eswars","59","216","2","1","358","50.219720000000002","3.2680600000000002"
"Eth","59","217","1","1","342","50.325830000000003","3.6680600000000001"
"Étrœungt","59","218","1","1","1411","50.057499999999997","3.9275000000000002"
"Estrun","59","219","2","1","681","50.248060000000002","3.2941699999999998"
"Faches-Thumesnil","59","220","5","0","17581","50.5989","3.0743"
"Famars","59","221","6","0","2585","50.315559999999998","3.5191699999999999"
"Faumont","59","222","3","0","2142","50.460560000000001","3.1380599999999998"
"Favril","59","223","1","2","488","50.103059999999999","3.72194"
"Féchain","59","224","3","0","1873","50.265560000000001","3.2138900000000001"
"Feignies","59","225","1","0","7332","50.302219999999998","3.9180600000000001"
"Felleries","59","226","1","0","1631","50.143059999999998","4.0250000000000004"
"Fenain","59","227","3","0","5402","50.365830000000003","3.3005599999999999"
"Férin","59","228","3","0","1480","50.327779999999997","3.07361"
"Féron","59","229","1","0","556","50.046300000000002","4.0255999999999998"
"Ferrière-la-Grande","59","230","1","0","5552","50.255000000000003","3.9927800000000002"
"Ferrière-la-Petite","59","231","1","0","1029","50.240000000000002","4.0222199999999999"
"Flamengrie","59","232","1","3","432","50.315280000000001","3.7163900000000001"
"Flaumont-Waudrechies","59","233","1","0","374","50.126109999999997","3.96861"
"Flers-en-Escrebieux","59","234","3","0","5683","50.397779999999997","3.0625"
"Flesquières","59","236","2","0","281","50.123890000000003","3.1166700000000001"
"Flêtre","59","237","4","0","940","50.753329999999998","2.6466699999999999"
"Flines-lès-Mortagne","59","238","6","0","1659","50.50694","3.4663900000000001"
"Flines-lez-Raches","59","239","3","0","5530","50.427","3.1840999999999999"
"Floursies","59","240","1","0","138","50.18139","3.96861"
"Floyon","59","241","1","0","519","50.040559999999999","3.8872200000000001"
"Fontaine-au-Bois","59","242","1","0","666","50.141939999999998","3.6469399999999998"
"Fontaine-au-Pire","59","243","2","0","1209","50.130000000000003","3.3747199999999999"
"Fontaine-Notre-Dame","59","244","2","0","1738","50.166939999999997","3.1597200000000001"
"Forest-en-Cambrésis","59","246","1","0","553","50.140830000000001","3.5713900000000001"
"Forest-sur-Marque","59","247","5","0","1468","50.634169999999997","3.1891699999999998"
"Fourmies","59","249","1","0","12941","50.017499999999998","4.0534999999999997"
"Fournes-en-Weppes","59","250","5","0","2132","50.585279999999997","2.88917"
"Frasnoy","59","251","1","0","346","50.27028","3.6791700000000001"
"Frelinghien","59","252","5","0","2509","50.711939999999998","2.9338899999999999"
"Fresnes-sur-Escaut","59","253","6","0","7739","50.433610000000002","3.57694"
"Fressain","59","254","3","0","888","50.288060000000002","3.1952799999999999"
"Fressies","59","255","2","0","569","50.255560000000003","3.1944400000000002"
"Fretin","59","256","5","0","3336","50.557499999999997","3.1341700000000001"
"Fromelles","59","257","5","0","884","50.606389999999998","2.855"
"Genech","59","258","5","0","3055","50.530830000000002","3.2163900000000001"
"Ghissignies","59","259","1","0","489","50.226390000000002","3.61694"
"Ghyvelde","59","260","4","0","3316","51.051670000000001","2.5272199999999998"
"Glageon","59","261","1","0","1849","50.056109999999997","4.0747200000000001"
"Godewaersvelde","59","262","4","0","2074","50.793889999999998","2.6433300000000002"
"Gœulzin","59","263","3","0","1086","50.317500000000003","3.0947200000000001"
"Gognies-Chaussée","59","264","1","0","802","50.33972","3.9444400000000002"
"Gommegnies","59","265","1","0","2304","50.270829999999997","3.7077800000000001"
"Gondecourt","59","266","5","0","4027","50.544440000000002","2.9841700000000002"
"Gonnelieu","59","267","2","0","330","50.057780000000001","3.15306"
"Gorgue","59","268","4","3","6019","50.638330000000003","2.7141700000000002"
"Gouzeaucourt","59","269","2","0","1450","50.05556","3.1241699999999999"
"Grand-Fayt","59","270","1","0","522","50.113799999999998","3.8024"
"Grande-Synthe","59","271","4","0","21235","51.013060000000003","2.3022200000000002"
"Grand-Fort-Philippe","59","272","4","0","5506","50.997779999999999","2.1091700000000002"
"Gravelines","59","273","4","0","11868","50.98639","2.1274999999999999"
"Groise","59","274","2","3","482","50.075000000000003","3.68167"
"Gruson","59","275","5","0","1191","50.594720000000002","3.2061099999999998"
"Guesnain","59","276","3","0","4687","50.352499999999999","3.14472"
"Gussignies","59","277","1","0","360","50.337499999999999","3.74139"
"Hallennes-lez-Haubourdin","59","278","5","1","4027","50.613300000000002","2.96"
"Halluin","59","279","5","1","20370","50.782780000000002","3.1247199999999999"
